gx,gy,gz,time,ang
-268,-28,-77,401112766,0.005479534959445237
-245,-65,-63,401121958,0.007911517714645206
-246,-69,-61,401122505,0.008081685143444843
-245,-72,-62,401123106,0.008267689901484588
-254,-69,-63,401123667,0.008517169899133583
-239,-66,-66,401128202,0.009827487420479772
-236,-64,-67,401128757,0.009978581900373975
-235,-77,-56,401137994,0.012202845848916333
-235,-79,-47,401138593,0.012338954377513048
-227,-75,-38,401139673,0.012392137997934288
-223,-70,-45,401147928,0.012895297220854505
-217,-68,-50,401148484,0.012919893431111346
-218,-72,-44,401149578,0.01298252249773396
-220,-48,-42,401156568,0.011894803002055015
-220,-45,-39,401157103,0.01178658944697437
-223,-44,-33,401157663,0.01166420769070932
-227,-48,-28,401158198,0.011574892057106536
-228,-40,-34,401165660,0.010215670938818755
-232,-39,-32,401166195,0.010144881063934432
-234,-36,-33,401166748,0.010074429614540581
-234,-37,-36,401167283,0.010019913704942223
-225,-39,-33,401173212,0.00895789139773333
-225,-36,-38,401173749,0.008865484906898894
-248,-53,-44,401182305,0.011283537760762874
-251,-58,-41,401182883,0.01149522702094365
-259,-62,-42,401184094,0.012105567509172887
-250,-58,-34,401188205,0.013603781201003484
-255,-61,-35,401188754,0.013855963086779305
-260,-57,-44,401189289,0.01411970743489186
-268,-60,-57,401195843,0.018138016746960563
-266,-40,-39,401202633,0.021635719685671777
-262,-37,-47,401203168,0.02188089887864282
-265,-40,-54,401203731,0.022167076328841594
-284,-29,-41,401209758,0.026983144803277685
-276,-34,-56,401217398,0.032411277280377966
-276,-33,-64,401217933,0.03279637474852729
-274,-35,-67,401218491,0.033181786376403406
-275,-30,-69,401219026,0.03355965359003318
-243,-31,-56,401225215,0.035024547512033696
-236,-30,-52,401225751,0.03510047776568147
-256,-4,-40,401234548,0.03972035828970719
-258,-5,-41,401235095,0.04005096676111538
-266,-2,-45,401235686,0.04048581104969313
-279,-4,-44,401236221,0.04098229841742426
-378,2,-47,401242212,0.05550592502196384
-384,-1,-47,401242775,0.05691605305374873
-492,-31,-61,401251933,0.09359055427792638
-492,-32,-60,401252487,0.09581849421643951
-482,-26,-54,401253581,0.10007405328138054
-415,57,-73,401261646,0.12551668260746263
-412,70,-77,401262181,0.1272283093849937
-408,82,-82,401262744,0.12902712675821806
-399,95,-81,401263279,0.13069746485669825
-309,181,-76,401270942,0.14907867228140992
-306,185,-73,401271500,0.15053759320709895
-301,190,-68,401272035,0.15193038443140686
-288,191,-63,401272596,0.15330932237738973
-177,159,-67,401278224,0.15853384394478934
-162,136,-59,401278760,0.15892717504373505
-86,-44,-64,401284245,0.14963125387690754
-65,-97,-42,401285878,0.14569162142298045
0,-110,-27,401293952,0.1192789892542022
0,-102,-27,401294503,0.11756816289140472
1,-97,-24,401295070,0.11583801545331936
6,-84,-17,401295654,0.1141106040959369
-23,24,-11,401301203,0.1071429868839826
-33,28,-9,401301760,0.10667833311985445
-168,-26,3,401310973,0.10502491344281822
-181,-30,10,401311597,0.10499471277126989
-195,-30,5,401312666,0.1050678395267765
-298,46,-21,401320930,0.12040487986848547
-302,56,-24,401321487,0.12152858349406448
-310,67,-22,401322022,0.12271981799063536
-313,77,-12,401322582,0.12406014200696223
-368,153,-30,401330940,0.15577021756201995
-369,150,-31,401331496,0.15786245909462615
-379,148,-35,401332622,0.1621570423415253
-457,-97,-60,401349931,0.1930902642920952
-458,-95,-61,401350479,0.19432773751521093
-454,-98,-61,401351014,0.1955065912381336
-441,-113,-58,401351574,0.1965870461360266
-382,-196,-84,401365371,0.20734904328584086
-380,-197,-81,401365906,0.20793475937639283
-381,-192,-78,401366457,0.20857754182152383
-376,-195,-73,401366992,0.20916713175659934
-341,-183,-72,401380185,0.22114120923498634
-343,-182,-65,401380738,0.22176957009386972
-343,-182,-54,401381836,0.2230388613444027
-291,-163,-33,401389909,0.22742698944124368
-295,-156,-29,401390465,0.22781206957914762
-292,-155,-33,401391000,0.22816426741150989
-288,-158,-38,401391558,0.22849748681184362
-268,-134,-33,401397747,0.23094305460552597
-245,-98,-34,401405378,0.23221283010671578
-240,-97,-31,401405913,0.23226840361650075
-224,-70,-29,401412278,0.23173930132704426
-225,-65,-22,401420913,0.23130699762823562
-226,-66,-27,401421471,0.23128729661829067
-234,-66,-31,401422006,0.23133219740257568
-246,-62,-29,401422593,0.23149310004160292
-244,-53,-38,401428216,0.23291937900360887
