gx,gy,gz,time,ang
-359,50,-102,318750302,0.004794920801226992
-343,2,-107,318754835,0.014345490891824728
-337,-2,-104,318755390,0.015458375950163345
-289,-51,-101,318760785,0.021423358321188374
-281,-74,-108,318768391,0.029472506800404186
-215,-100,-86,318785084,0.034243954461554864
-231,-37,-55,318814548,0.036273102341827325
-234,-34,-51,318815105,0.03631151678905422
-228,-29,-45,318816198,0.03624594982725452
-229,-40,-51,318824615,0.036513011590505275
-227,-38,-47,318825212,0.03649449912647868
-238,-36,-25,318834559,0.03492241417211562
-241,-38,-29,318835115,0.034884550963537854
-234,-51,-37,318836211,0.03481030105535282
-240,-47,-27,318842497,0.03421402104571998
-215,-72,-18,318857550,0.02732621656196517
-224,-73,-21,318858105,0.027174732520771534
-234,-70,-21,318859198,0.027018812511986817
-224,-45,-42,318879078,0.024840677435925343
-212,-32,-55,318888555,0.023562888997307588
-213,-33,-53,318889109,0.023500003692741984
-207,-41,-55,318889643,0.023402301237480407
-172,-64,-61,318896392,0.019815525894074936
-195,-157,-37,318905552,0.02028904893279989
-204,-154,-35,318906108,0.02069999398634497
-212,-148,-38,318906672,0.021154286783443138
-217,-144,-40,318907262,0.021656419181494857
-296,-126,-53,318912854,0.029052738561559426
-292,-124,-52,318913390,0.029765201311312016
-261,-50,-70,318922552,0.033438059394379445
-263,-53,-72,318923127,0.033721096445532714
-257,-66,-69,318924213,0.03431927845352346
-244,-136,-65,318932580,0.04404404480264283
-245,-136,-65,318933129,0.044710232340684566
-247,-134,-64,318933664,0.04535365133081575
-243,-133,-58,318934224,0.04598470891027688
-217,-86,-51,318941845,0.04867783316127118
-211,-78,-50,318942381,0.048797677196843275
-224,61,-55,318951586,0.037240836682447216
-231,61,-54,318952197,0.03661861273226674
-238,59,-48,318952733,0.036104845709313764
-238,59,-39,318953280,0.03555495042748016
-251,33,-53,318958843,0.03336647696726196
-258,28,-59,318959441,0.033317431854416206
-283,-55,-50,318968540,0.039261717781207246
-281,-52,-48,318969095,0.03961327946615132
-272,-51,-43,318970190,0.04014545666490794
-246,-54,-53,318978571,0.04237887530522318
-239,-50,-58,318979128,0.042489281648479454
-237,-38,-60,318979663,0.042558154179781246
-217,-14,-57,318985381,0.041191845602347225
-211,-14,-64,318994539,0.03943535619603938
-204,-15,-63,318995096,0.03930521373645532
-189,-14,-58,318996191,0.038809730935952205
-188,-55,-36,319010997,0.03026313081074322
-188,-60,-42,319011541,0.030001345362619433
-186,-64,-41,319012149,0.02969802256927063
-185,-61,-39,319012684,0.029411667293233267
-173,-70,-27,319018389,0.025261996768220475
-183,-64,-42,319024788,0.022666719433972825
-183,-70,-43,319025352,0.022494699945260054
-183,-70,-38,319030773,0.0208617327809213
-183,-74,-40,319031310,0.020766623817690778
-184,-75,-37,319032382,0.02057449279818765
-192,-79,-40,319040538,0.02088361267126307
-197,-80,-40,319041651,0.02106295074774564
-205,-58,-31,319049829,0.020127190908540808
-201,-73,-31,319051049,0.020267419267110925
-210,-55,-37,319059564,0.02007258152652389
-207,-55,-38,319060121,0.020084140793374755
-222,-42,-42,319067528,0.018941471019346713
-238,-26,-37,319075756,0.015209546936037809
-253,-10,-38,319086076,0.008652134550806323
-251,-24,-64,319126534,0.024305240923079955
-254,-21,-67,319127083,0.024653913550417093
-255,-16,-66,319128178,0.025390780616157287
-249,-8,-50,319135134,0.029256610465491346
-246,-12,-48,319135669,0.029527318799843338
-230,-10,-45,319136753,0.029916894410222633
-246,-12,-64,319144533,0.03501451387807895
-248,-8,-62,319145088,0.03540512769046479
-243,-2,-62,319145623,0.03579122271235701
-243,1,-61,319146183,0.03620911314209714
-250,-16,-41,319151834,0.039018380801176235
-246,-9,-48,319152391,0.03935131910171008
-223,-17,-39,319159056,0.04117034930570328
-224,-21,-40,319159591,0.0413101917014583
-235,-18,-37,319166687,0.044018893420204035
-226,-32,-50,319174036,0.04568512917206062
-230,-31,-53,319174571,0.045838854054714745
-234,-30,-46,319175132,0.0460042128791264
-235,-31,-48,319175666,0.046164551608028646
-227,-19,-32,319181864,0.04816533356464684
-232,-17,-26,319182400,0.04836565733286742
-218,-24,-38,319191610,0.05067791655218735
-208,-23,-42,319192196,0.05081301839378741
-205,-32,-51,319193289,0.05094990517924255
-209,-37,-36,319218514,0.052800395300213375
-212,-42,-39,319219071,0.05283243382837526
-196,-19,-39,319227135,0.05574452993765297
-195,-22,-39,319227669,0.05592725367693638
-191,-27,-46,319228762,0.0562245840939046
-153,-2,-56,319236542,0.06146412812038166
-149,-5,-56,319237142,0.06189913098375567
-148,-2,-56,319237716,0.06234938162550853
-175,7,-16,319246552,0.07048177971297989
-180,5,-18,319247108,0.07100280695546249
-187,-2,-21,319248195,0.07189861074212732
-351,2,-14,319256280,0.07810578287475675
-361,7,-22,319256815,0.07867556565546073
-377,16,-33,319257368,0.07936351694353314
-475,1,-75,319264401,0.09123958476911186
-300,28,-70,319279543,0.114914812784662
-295,34,-67,319280098,0.11582135383895213
-294,43,-62,319280633,0.11675637108536155
-290,55,-63,319281191,0.117808133761323
-216,197,-60,319286845,0.13695090326779538
-209,208,-59,319287381,0.13886312099291911
-57,123,-58,319296591,0.15592995064632847
-56,101,-50,319297202,0.15705515095360364
-52,83,-43,319297737,0.15790525586084855
-40,58,-37,319298299,0.15858657015049984
-26,-174,-27,319303840,0.14660430263352542
-22,-193,-32,319304441,0.1452374512676162
-18,-252,4,319313539,0.11997134155042198
-26,-240,4,319314094,0.11879771512231885
-45,-223,13,319315187,0.11679333507365224
-124,-59,23,319323569,0.12070604166496426
-127,-42,23,319324125,0.1211618445788297
-135,-35,22,319324660,0.12163505798206621
-146,-28,21,319325211,0.12214705960149976
-202,33,7,319331388,0.1311329029612977
-272,56,-29,319340228,0.1431096899528836
-275,68,-30,319340763,0.14394304753271728
-280,78,-38,319341301,0.14483884777769457
-332,131,-57,319348384,0.16101192075612822
-366,2,-90,319371570,0.1766839994326676
-362,-9,-94,319372154,0.17717368811578485
-359,-14,-97,319372689,0.17758505117124326
-353,-20,-96,319373238,0.1779584953815194
-322,-61,-95,319378853,0.1782241216784892
-321,-70,-93,319379448,0.17819736106590217
-257,-112,-84,319388550,0.17068709466428197
-265,-110,-90,319389106,0.1702700289681096
-261,-104,-93,319390191,0.16954450885497538
-236,-105,-75,319398551,0.16319129599519114
-232,-109,-76,319399106,0.16273300321063164
-233,-110,-76,319399641,0.16228565195151198
-214,-110,-58,319406386,0.15613144765421616
-215,-78,-25,319436001,0.14305385951644248
-221,-80,-25,319436536,0.14282032648977394
-222,-81,-27,319437079,0.14257674473302318
-220,-83,-28,319437614,0.1423172894155286
-226,-76,-43,319444392,0.13982164841801914
-244,-87,-32,319453233,0.13576643330888086
-247,-90,-36,319453768,0.13550532113114921
-248,-87,-39,319454335,0.13525484834587406
-248,-105,-30,319460384,0.13107609281584773
-247,-125,-27,319484636,0.10879658510076987
-245,-129,-30,319485193,0.10828291310360365
-243,-129,-32,319485728,0.1077822781552384
-243,-128,-28,319486286,0.10727555165846715
-245,-132,-17,319490822,0.10319889050701844
-241,-129,-20,319491377,0.10271693874470762
-247,-116,-21,319499923,0.0974252741928142
-239,-111,-17,319500545,0.09707895557577503
-241,-126,-15,319501639,0.09629338507294209
-222,-124,-39,319505844,0.09244740195870153
-216,-124,-41,319506381,0.09193277289388466
-208,-129,-38,319506990,0.09128331510077994
-171,-197,-41,319518370,0.06696280827511093
-255,-160,-39,319536769,0.056627974630649204
-248,-152,-42,319537379,0.05651315834627724
-243,-142,-45,319537914,0.056404698813070836
-240,-136,-45,319538477,0.05629569556042467
-240,-145,-43,319544881,0.05572171165532699
-240,-150,-41,319545519,0.05575413011295104
-214,-217,-47,319554554,0.056639436570054866
-208,-214,-42,319555112,0.05697341006968296
-201,-219,-43,319556207,0.0576550872396747
-184,-135,-32,319564522,0.059857379155337634
-184,-129,-29,319565077,0.06007656238735213
-210,-72,-44,319570813,0.06040995914996879
-225,-68,-37,319577355,0.06192333526949742
-212,-116,-44,319592526,0.07054538902149342
-209,-115,-42,319593083,0.07089748015580878
-208,-115,-43,319593618,0.0712303678905855
-209,-117,-40,319594179,0.07161198847374595
-176,-59,-43,319613555,0.06922541568938108
-181,-61,-41,319614102,0.06923963316005573
-180,-62,-42,319614636,0.06925576330044209
-172,-67,-44,319615195,0.06928458545954727
-140,-101,-24,319629547,0.07990410588275072
-139,-101,-29,319630101,0.08039160418671551
-142,-98,-29,319630636,0.08084663842228124
-144,-101,-26,319631186,0.0813537838783195
-147,-92,-29,319639553,0.08846528396573503
-156,-93,-37,319640102,0.08892234684769088
-159,-96,-44,319640637,0.08935480217882913
-157,-96,-42,319641196,0.08982253054295204
-144,-97,-20,319646825,0.09606370345186724
-144,-104,-22,319647382,0.0967393384308521
-160,-77,-11,319656594,0.10539272477587777
-163,-81,-11,319657204,0.10600387155772648
-164,-85,-14,319657739,0.10655039503799175
-160,-90,-25,319658284,0.10710278721720692
-160,-87,-21,319663824,0.11278358521271181
-160,-88,-25,319664447,0.11341779997972513
-176,-76,-19,319673550,0.12111337260926612
-187,-60,-23,319675194,0.12205705430251139
-203,-54,-32,319689000,0.12670312010326898
-200,-64,-31,319689535,0.12695945818827484
-200,-73,-32,319690098,0.12727935147954222
-198,-79,-36,319690633,0.12760778331611322
-217,-75,-14,319704525,0.13627110297573788
-213,-73,-19,319705083,0.13660004597451364
-212,-75,-24,319705618,0.13690751378125338
-213,-73,-28,319706176,0.13719336769698812
-219,-68,-25,319714108,0.1407219074416547
-214,-68,-16,319714643,0.14102011617791677
-210,-64,-16,319715201,0.14132260791031032
-220,-68,-18,319715735,0.1415896941672437
-224,-76,-34,319721386,0.14395650543274588
-226,-66,-15,319730550,0.14825416030731692
-224,-63,-13,319731105,0.14851596264499045
-221,-59,-12,319731661,0.14877085477664975
-216,-61,-15,319732250,0.14905658043733266
-217,-45,-26,319736822,0.15003237494170274
-215,-48,-29,319737377,0.15016118843990559
-206,-59,-6,319746597,0.15587947707085492
-203,-56,-19,319747208,0.1561805610324874
-203,-53,-27,319747743,0.15638796638652544
-202,-55,-24,319748280,0.15662585130814483
-207,-41,-24,319752843,0.15786882226719795
-212,-49,-28,319753380,0.1580209821621797
-195,-55,-26,319762522,0.16240458890558795
-213,-51,-1,319770383,0.1668575221129301
-168,-64,-7,319794575,0.19034486663220324
-166,-63,-1,319795121,0.1909232291970203
-183,-62,-4,319802509,0.1975123280377988
-181,-67,-31,319817508,0.20787029294560214
-178,-69,-30,319818066,0.20828769390914137
-176,-72,-30,319818601,0.2087103219883539
-182,-61,-27,319819160,0.2090897328667352
-185,-40,-14,319826849,0.21381255633715282
-183,-45,-16,319827385,0.21416549398480894
-209,-61,-37,319836596,0.21745478795208004
-201,-56,-34,319837189,0.21770155663485363
-198,-51,-31,319837724,0.21793269439422083
-198,-46,-30,319838275,0.21815452616783326
-187,-59,-39,319843846,0.22101929522990993
-186,-59,-42,319844447,0.22131740654965085
-157,-23,-50,319853544,0.22509622417621805
-151,-21,-53,319854098,0.22534725826479476
-153,-21,-56,319855185,0.22579378646371295
-86,0,-36,319865194,0.2374794507767603
-1,40,16,319880008,0.2760058529823935
-4,37,18,319880543,0.2775152248457271
-12,37,24,319881098,0.27906467132247403
-23,38,28,319881664,0.2805953180501478
-19,-36,42,319895341,0.3248307689799136
289,220,53,319921535,0.5174875497505983
298,228,54,319922091,0.5220492724835213
315,235,55,319922626,0.5265817747705694
328,237,52,319923186,0.5314280373305345
457,-174,59,319937525,0.67732841221142
466,-189,56,319938083,0.6831387650796588
470,-206,54,319938617,0.6887260853472136
467,-210,56,319939176,0.6945619716701692
131,272,56,319966983,0.8653288997557925
130,275,49,319967518,0.8687595643780104
126,276,40,319968080,0.872312690089889
123,281,36,319968615,0.8756740671807213
-169,125,-73,319996546,0.9116272056633696
-162,112,-70,319997103,0.9124353234404489
-156,97,-68,319997638,0.9132319056415569
-151,80,-68,319998189,0.9140555965631596
-26,-168,-67,320011986,0.9462613994720336
-23,-171,-66,320012521,0.9475594338943337
-19,-179,-67,320013072,0.9489127171581228
-20,-186,-71,320013607,0.9501995382733638
25,-147,-43,320021540,0.9765910027468891
27,-147,-35,320022096,0.9784904007752624
25,-145,-32,320022631,0.9803146326981047
36,-81,-20,320028372,1.0022406431920996
67,-16,-5,320037553,1.0437870929276296
64,-8,-6,320038109,1.0462907627758178
68,-10,-7,320038644,1.0487254763033549
69,-8,-8,320039232,1.0514108677064393
102,-3,0,320043826,1.0747999847900132
104,-5,5,320044383,1.0776609950687337
168,-61,-11,320053235,1.1293971089483361
170,-65,-5,320053770,1.132552643693312
181,-71,-2,320054930,1.139577129994904
227,-71,-14,320059385,1.1693479658873582
244,-94,-31,320068218,1.2296934483220596
242,-92,-30,320068753,1.2333489102125286
238,-92,-25,320069319,1.237195122684
213,-70,-54,320076375,1.2822572554857234
196,8,-193,320099842,1.4214233094609323
202,10,-193,320100382,1.4247321099916406
205,14,-193,320100917,1.4280411579460588
211,22,-198,320101479,1.4315722711581167
234,2,-223,320107918,1.473736049585427
235,-118,-254,320118609,1.5413827322222233
222,-120,-295,320127549,1.5967032960454528
222,-124,-298,320128105,1.6001766572050307
228,-126,-298,320128640,1.6035695880999261
234,-125,-302,320129211,1.6072447274019594
263,-103,-333,320134828,1.6461076029937984
267,-100,-334,320135385,1.6500260050599456
260,-136,-370,320140781,1.687160201908627
256,-140,-380,320141345,1.6910318360178798
404,-283,-393,320150688,1.7752472473882848
